,Referencia,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,2,2004-01-01,Local,Venta,Girona,185.0,1945424.0,2004-04-19,Pedro
3,4,2004-01-02,Parking,Alquiler,Girona,285.0,,2004-04-27,Jesús
5,6,2004-01-03,Industrial,Alquiler,Girona,131.0,953156.0,2004-09-05,Pedro
7,8,2004-01-03,Oficina,Venta,Girona,235.0,2158475.0,2004-10-31,Jesús
10,11,2004-01-04,Oficina,Alquiler,Girona,124.0,627068.0,2004-10-28,Pedro
11,12,2004-01-04,Industrial,Venta,Girona,187.0,999328.0,2004-04-05,Carmen
14,15,2004-01-04,Industrial,Alquiler,Girona,176.0,820336.0,2004-11-29,Pedro
15,16,2004-01-05,Casa,Alquiler,Girona,179.0,937960.0,2004-11-21,Carmen
22,23,2004-01-10,Casa,Alquiler,Girona,183.0,1438929.0,2004-04-21,Luisa
36,37,2004-01-16,Local,Venta,Girona,229.0,1160572.0,2004-07-09,Pedro
39,40,2004-01-18,Oficina,Venta,Girona,182.0,1057784.0,2004-07-22,Jesús
43,44,2004-01-19,Casa,Venta,Girona,278.0,1537062.0,2004-12-16,María
54,55,2004-01-22,Local,Venta,Girona,127.0,983234.0,2004-07-09,Carmen
57,58,2004-01-24,Local,Alquiler,Girona,274.0,2287626.0,2004-12-21,María
68,69,2004-01-27,Local,Venta,Girona,248.0,2212408.0,2004-10-09,María
70,71,2004-01-28,Casa,Venta,Girona,235.0,1939925.0,2004-11-01,Carmen
73,74,2004-01-29,Industrial,Venta,Girona,229.0,1098055.0,2004-10-22,Joaquín
81,82,2004-02-02,Parking,Venta,Girona,117.0,1069731.0,2004-09-14,Pedro
85,86,2004-02-03,Piso,Venta,Girona,275.0,2141700.0,2005-01-08,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292.0,2685816.0,2004-07-24,Pedro
98,99,2004-02-07,Industrial,Alquiler,Girona,251.0,2067236.0,2004-12-22,María
100,101,2004-02-08,Suelo,Alquiler,Girona,162.0,710694.0,2004-09-27,María
102,103,2004-02-08,Casa,Alquiler,Girona,258.0,1188090.0,2004-07-19,María
104,105,2004-02-10,Piso,Alquiler,Girona,238.0,1854496.0,2005-02-02,Luisa
106,107,2004-02-10,Suelo,Alquiler,Girona,222.0,1791318.0,2004-12-13,Jesús
113,114,2004-02-14,Suelo,Venta,Girona,103.0,806799.0,2005-01-11,Joaquín
115,116,2004-02-15,Parking,Venta,Girona,103.0,973659.0,2005-01-04,Jesús
116,117,2004-02-15,Oficina,Venta,Girona,274.0,1724008.0,2004-09-26,Joaquín
117,118,2004-02-15,Oficina,Venta,Girona,253.0,2047276.0,2004-09-10,Luisa
122,123,2004-02-17,Local,Alquiler,Girona,179.0,1461356.0,2004-07-30,Pedro
124,125,2004-02-19,Industrial,Venta,Girona,118.0,1067192.0,2004-08-25,Carmen
145,146,2004-02-28,Parking,Venta,Girona,274.0,2028970.0,2004-08-20,Luisa
154,155,2004-03-03,Suelo,Alquiler,Girona,185.0,1403595.0,2004-10-02,Pedro
155,156,2004-03-03,Casa,Venta,Girona,284.0,1561432.0,2004-07-01,Pedro
163,164,2004-03-05,Oficina,Alquiler,Girona,287.0,1395681.0,2004-09-13,Carmen
166,167,2004-03-06,Parking,Venta,Girona,169.0,1370759.0,2005-01-14,Luisa
170,171,2004-03-08,Suelo,Venta,Girona,144.0,1358640.0,2004-11-13,Joaquín
172,173,2004-03-09,Oficina,Venta,Girona,268.0,2400476.0,2005-03-08,Joaquín
182,183,2004-03-14,Local,Alquiler,Girona,231.0,1446522.0,2004-09-02,Carmen
188,189,2004-03-17,Parking,Venta,Girona,160.0,1261600.0,2004-10-25,Jesús
193,194,2004-03-19,Local,Alquiler,Girona,117.0,986895.0,2004-09-14,Pedro
197,198,2004-03-21,Oficina,Alquiler,Girona,174.0,720882.0,2004-08-14,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247.0,1050985.0,2004-11-09,Pedro
202,203,2004-03-22,Local,Alquiler,Girona,169.0,902798.0,2004-07-16,Luisa
204,205,2004-03-23,Local,Venta,Girona,274.0,2002392.0,2004-12-04,Luisa
213,214,2004-03-26,Industrial,Venta,Girona,163.0,1385011.0,2004-08-26,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,214.0,1219158.0,2004-07-13,Pedro
227,228,2004-04-01,Local,Venta,Girona,211.0,2010619.0,2004-11-12,Jesús
232,233,2004-04-03,Local,Alquiler,Girona,246.0,1362348.0,2004-10-05,Joaquín
233,234,2004-04-03,Suelo,Venta,Girona,230.0,1722700.0,2005-03-26,Carmen
235,236,2004-04-03,Industrial,Venta,Girona,226.0,2104286.0,2004-08-26,Carmen
245,246,2004-04-09,Local,Venta,Girona,287.0,1936102.0,2005-04-08,Jesús
247,248,2004-04-09,Suelo,Alquiler,Girona,136.0,873120.0,2004-12-26,Pedro
255,256,2004-04-10,Industrial,Venta,Girona,238.0,1620304.0,2004-10-05,Carmen
266,267,2004-04-14,Casa,Venta,Girona,204.0,1291116.0,2004-09-27,Carmen
267,268,2004-04-15,Industrial,Alquiler,Girona,150.0,968250.0,2005-02-15,María
274,275,2004-04-16,Local,Alquiler,Girona,193.0,1079449.0,2004-11-20,Pedro
275,276,2004-04-17,Oficina,Alquiler,Girona,110.0,1039500.0,2004-11-17,Pedro
277,278,2004-04-17,Suelo,Alquiler,Girona,125.0,853750.0,2004-08-25,Carmen
278,279,2004-04-18,Suelo,Venta,Girona,244.0,1414956.0,2005-02-26,María
280,281,2004-04-18,Oficina,Venta,Girona,258.0,1081278.0,2005-04-13,Carmen
281,282,2004-04-18,Casa,Venta,Girona,285.0,2534505.0,2004-12-28,Jesús
283,284,2004-04-19,Suelo,Alquiler,Girona,262.0,2404898.0,2004-10-20,Luisa
289,290,2004-04-20,Oficina,Alquiler,Girona,227.0,1437818.0,2005-03-27,Jesús
294,295,2004-04-22,Oficina,Venta,Girona,133.0,786695.0,2004-11-21,Luisa
296,297,2004-04-23,Suelo,Alquiler,Girona,288.0,2699136.0,2004-07-28,Pedro
301,302,2004-04-24,Industrial,Alquiler,Girona,211.0,1171894.0,2005-03-22,Pedro
302,303,2004-04-25,Oficina,Venta,Girona,209.0,1728221.0,2004-08-30,Carmen
304,305,2004-04-27,Oficina,Venta,Girona,249.0,1150380.0,2004-11-18,Joaquín
311,312,2004-04-29,Industrial,Venta,Girona,189.0,1579284.0,2005-01-07,Luisa
319,320,2004-05-02,Industrial,Alquiler,Girona,277.0,2456159.0,2004-08-04,María
320,321,2004-05-03,Industrial,Alquiler,Girona,190.0,977740.0,2004-08-12,Pedro
329,330,2004-05-05,Parking,Alquiler,Girona,125.0,1189250.0,2004-10-26,Pedro
331,332,2004-05-06,Local,Alquiler,Girona,138.0,877680.0,2005-03-31,Luisa
336,337,2004-05-08,Oficina,Venta,Girona,102.0,413610.0,2004-09-15,Pedro
347,348,2004-05-11,Oficina,Alquiler,Girona,187.0,1560889.0,2005-03-26,Joaquín
349,350,2004-05-13,Oficina,Venta,Girona,103.0,680830.0,2004-09-21,María
353,354,2004-05-14,Piso,Venta,Girona,122.0,885476.0,2005-03-30,Carmen
356,357,2004-05-15,Suelo,Venta,Girona,196.0,1707944.0,2004-08-19,Pedro
377,378,2004-05-24,Suelo,Alquiler,Girona,280.0,1680000.0,2004-09-17,María
378,379,2004-05-24,Piso,Venta,Girona,108.0,812808.0,2004-10-13,Jesús
380,381,2004-05-25,Casa,Venta,Girona,123.0,775884.0,2004-10-21,Joaquín
385,386,2004-05-26,Parking,Alquiler,Girona,184.0,830760.0,2004-09-13,Pedro
387,388,2004-05-28,Parking,Alquiler,Girona,137.0,835152.0,2005-02-13,Jesús
390,391,2004-05-30,Suelo,Venta,Girona,300.0,1483500.0,2005-03-29,Carmen
392,393,2004-05-31,Piso,Venta,Girona,225.0,1164375.0,2005-03-04,Pedro
394,395,2004-05-31,Casa,Alquiler,Girona,192.0,1159296.0,2005-05-23,Carmen
408,409,2004-06-04,Parking,Venta,Girona,293.0,1750089.0,2005-04-05,Luisa
411,412,2004-06-05,Local,Venta,Girona,148.0,1268952.0,2004-10-14,María
417,418,2004-06-07,Industrial,Alquiler,Girona,287.0,2452989.0,2005-01-26,Joaquín
418,419,2004-06-07,Parking,Venta,Girona,174.0,952302.0,2004-12-06,Luisa
424,425,2004-06-09,Casa,Venta,Girona,173.0,1117753.0,2004-12-11,María
434,435,2004-06-13,Industrial,Alquiler,Girona,233.0,1541528.0,2005-02-03,Jesús
436,437,2004-06-14,Parking,Venta,Girona,107.0,909821.0,2005-05-03,Luisa
438,439,2004-06-15,Oficina,Alquiler,Girona,298.0,2524358.0,2004-10-23,Luisa
442,443,2004-06-17,Piso,Alquiler,Girona,245.0,1001070.0,2004-10-14,Jesús
447,448,2004-06-17,Local,Alquiler,Girona,234.0,1159470.0,2004-10-02,Pedro
448,449,2004-06-17,Local,Venta,Girona,118.0,788948.0,2005-04-08,Pedro
452,453,2004-06-19,Suelo,Venta,Girona,185.0,1616900.0,2005-04-08,Jesús
458,459,2004-06-21,Oficina,Venta,Girona,107.0,590426.0,2004-11-03,María
462,463,2004-06-23,Casa,Venta,Girona,214.0,1962380.0,2005-06-01,Pedro
463,464,2004-06-24,Casa,Alquiler,Girona,143.0,836836.0,2005-06-15,Luisa
466,467,2004-06-24,Local,Venta,Girona,126.0,520758.0,2005-06-16,Pedro
473,474,2004-06-25,Suelo,Venta,Girona,199.0,1622646.0,2005-06-23,Jesús
478,479,2004-06-28,Oficina,Venta,Girona,232.0,1028224.0,2005-05-26,Luisa
483,484,2004-06-30,Casa,Venta,Girona,153.0,1506438.0,2004-12-03,Luisa
485,486,2004-06-30,Piso,Venta,Girona,283.0,2199476.0,2005-06-04,Luisa
496,497,2004-07-03,Oficina,Venta,Girona,209.0,1316073.0,2005-04-02,Pedro
516,517,2004-07-08,Industrial,Venta,Girona,174.0,1313526.0,2005-01-16,Pedro
517,518,2004-07-08,Casa,Venta,Girona,108.0,638064.0,2004-10-24,Luisa
522,523,2004-07-09,Suelo,Alquiler,Girona,270.0,1429380.0,2005-03-25,Carmen
525,526,2004-07-11,Parking,Venta,Girona,162.0,1594404.0,2005-03-07,María
535,536,2004-07-14,Casa,Venta,Girona,197.0,1292123.0,2005-06-30,Joaquín
536,537,2004-07-14,Local,Alquiler,Girona,117.0,1031121.0,2005-04-30,Luisa
537,538,2004-07-15,Industrial,Alquiler,Girona,279.0,2161134.0,2005-03-09,María
546,547,2004-07-20,Casa,Alquiler,Girona,200.0,1000000.0,2004-12-13,Jesús
548,549,2004-07-20,Local,Venta,Girona,237.0,1403988.0,2005-06-27,Carmen
550,551,2004-07-21,Piso,Alquiler,Girona,237.0,2215002.0,2004-10-31,Pedro
554,555,2004-07-22,Piso,Venta,Girona,138.0,1289748.0,2004-12-25,Luisa
556,557,2004-07-23,Piso,Alquiler,Girona,198.0,1916442.0,2005-04-14,Joaquín
557,558,2004-07-24,Piso,Alquiler,Girona,246.0,1875012.0,2005-03-08,Luisa
561,562,2004-07-25,Piso,Alquiler,Girona,161.0,960526.0,2005-06-21,Joaquín
565,566,2004-07-26,Local,Alquiler,Girona,266.0,1881950.0,2005-01-15,María
577,578,2004-07-29,Oficina,Venta,Girona,221.0,1571973.0,2004-12-25,Joaquín
578,579,2004-07-29,Industrial,Venta,Girona,148.0,811780.0,2005-04-17,Luisa
583,584,2004-08-01,Casa,Alquiler,Girona,257.0,1077601.0,2005-02-07,Luisa
584,585,2004-08-01,Parking,Alquiler,Girona,161.0,1050203.0,2005-02-04,Joaquín
591,592,2004-08-03,Parking,Alquiler,Girona,145.0,999630.0,2005-05-01,Pedro
600,601,2004-08-08,Casa,Alquiler,Girona,147.0,919632.0,2005-06-23,Luisa
601,602,2004-08-09,Industrial,Venta,Girona,227.0,1218763.0,2005-07-27,Joaquín
624,625,2004-08-15,Industrial,Alquiler,Girona,222.0,2171826.0,2005-01-12,Carmen
628,629,2004-08-17,Piso,Venta,Girona,249.0,1427019.0,2004-12-04,Jesús
629,630,2004-08-17,Parking,Alquiler,Girona,170.0,1567060.0,2005-02-19,María
631,632,2004-08-17,Piso,Venta,Girona,201.0,1816437.0,2005-05-10,Pedro
632,633,2004-08-17,Parking,Alquiler,Girona,167.0,1191044.0,2005-01-11,Luisa
634,635,2004-08-18,Local,Alquiler,Girona,197.0,981651.0,2005-01-17,Jesús
638,639,2004-08-19,Piso,Alquiler,Girona,277.0,2646181.0,2005-07-04,Carmen
640,641,2004-08-19,Oficina,Venta,Girona,249.0,2306238.0,2005-03-02,María
641,642,2004-08-20,Industrial,Venta,Girona,119.0,711382.0,2005-08-01,Luisa
647,648,2004-08-21,Oficina,Venta,Girona,267.0,1153173.0,2005-03-28,Pedro
650,651,2004-08-22,Piso,Venta,Girona,207.0,1015956.0,2005-06-17,Jesús
651,652,2004-08-22,Oficina,Alquiler,Girona,259.0,1080548.0,2004-12-31,María
653,654,2004-08-22,Oficina,Alquiler,Girona,207.0,1953873.0,2005-06-10,Luisa
654,655,2004-08-22,Oficina,Venta,Girona,293.0,2787016.0,2005-03-23,Luisa
660,661,2004-08-23,Local,Venta,Girona,278.0,1730550.0,2004-12-09,María
661,662,2004-08-24,Parking,Alquiler,Girona,254.0,1963166.0,2005-07-27,Joaquín
663,664,2004-08-24,Local,Alquiler,Girona,252.0,2057832.0,2005-03-14,Luisa
664,665,2004-08-25,Local,Alquiler,Girona,163.0,1520627.0,2005-04-20,Pedro
673,674,2004-08-29,Parking,Venta,Girona,152.0,1392168.0,2005-08-04,Pedro
690,691,2004-09-02,Casa,Alquiler,Girona,118.0,827062.0,2005-03-22,Joaquín
697,698,2004-09-05,Parking,Alquiler,Girona,187.0,789140.0,2005-05-16,Carmen
699,700,2004-09-06,Local,Alquiler,Girona,299.0,1251315.0,2005-01-20,Luisa
700,701,2004-09-06,Casa,Venta,Girona,225.0,2023200.0,2004-12-27,Joaquín
701,702,2004-09-07,Piso,Alquiler,Girona,295.0,2553225.0,2005-01-14,Carmen
705,706,2004-09-08,Piso,Alquiler,Girona,258.0,1501560.0,2005-01-05,Joaquín
706,707,2004-09-08,Industrial,Venta,Girona,215.0,1713120.0,2005-05-27,Carmen
717,718,2004-09-11,Suelo,Alquiler,Girona,161.0,736092.0,2005-02-26,María
725,726,2004-09-13,Parking,Venta,Girona,112.0,1081360.0,2005-05-03,María
726,727,2004-09-15,Suelo,Alquiler,Girona,195.0,1168440.0,2004-12-30,Luisa
730,731,2004-09-16,Casa,Venta,Girona,109.0,555246.0,2005-04-10,Joaquín
732,733,2004-09-17,Oficina,Alquiler,Girona,164.0,1225244.0,2005-08-07,Jesús
747,748,2004-09-22,Industrial,Alquiler,Girona,228.0,2145480.0,2005-06-21,María
749,750,2004-09-23,Parking,Alquiler,Girona,294.0,1335936.0,2005-07-14,Carmen
750,751,2004-09-23,Parking,Venta,Girona,132.0,556116.0,2005-09-11,Luisa
762,763,2004-09-27,Piso,Alquiler,Girona,291.0,2411808.0,2005-02-28,Joaquín
763,764,2004-09-27,Oficina,Alquiler,Girona,210.0,1122240.0,2005-08-27,Pedro
764,765,2004-09-28,Local,Alquiler,Girona,291.0,2354481.0,2005-01-26,Carmen
765,766,2004-09-29,Piso,Alquiler,Girona,204.0,1044480.0,2005-04-17,Jesús
767,768,2004-09-29,Piso,Venta,Girona,231.0,1213212.0,2005-06-24,Carmen
782,783,2004-10-06,Oficina,Alquiler,Girona,219.0,1455693.0,2005-01-28,Joaquín
790,791,2004-10-08,Industrial,Venta,Girona,113.0,869196.0,2005-07-28,Jesús
797,798,2004-10-11,Piso,Venta,Girona,222.0,1478742.0,2005-09-24,Jesús
803,804,2004-10-13,Industrial,Venta,Girona,114.0,580032.0,2005-03-28,Jesús
807,808,2004-10-15,Oficina,Alquiler,Girona,119.0,630224.0,2005-04-09,Joaquín
812,813,2004-10-17,Casa,Venta,Girona,138.0,733470.0,2005-04-04,Pedro
820,821,2004-10-19,Parking,Venta,Girona,161.0,1392006.0,2005-07-12,María
825,826,2004-10-21,Oficina,Alquiler,Girona,239.0,1709567.0,2005-06-10,Jesús
830,831,2004-10-24,Parking,Venta,Girona,115.0,880900.0,2005-07-04,Carmen
836,837,2004-10-27,Local,Venta,Girona,127.0,1021334.0,2005-05-21,Joaquín
839,840,2004-10-27,Parking,Alquiler,Girona,114.0,1040478.0,2005-04-29,Carmen
840,841,2004-10-27,Piso,Venta,Girona,120.0,1061160.0,2005-04-13,Luisa
846,847,2004-10-31,Piso,Alquiler,Girona,121.0,731929.0,2005-06-27,Pedro
849,850,2004-11-01,Piso,Alquiler,Girona,159.0,1391091.0,2005-06-16,Carmen
850,851,2004-11-01,Casa,Alquiler,Girona,157.0,1032118.0,2005-06-16,Luisa
851,852,2004-11-02,Casa,Alquiler,Girona,237.0,1768020.0,2005-04-27,Luisa
854,855,2004-11-03,Suelo,Venta,Girona,223.0,1650200.0,2005-08-28,Carmen
856,857,2004-11-03,Industrial,Venta,Girona,238.0,2379048.0,2005-09-08,María
863,864,2004-11-06,Industrial,Venta,Girona,108.0,553608.0,2005-02-04,Luisa
864,865,2004-11-06,Parking,Alquiler,Girona,110.0,523160.0,2005-09-11,Joaquín
865,866,2004-11-07,Parking,Venta,Girona,136.0,1054544.0,2005-09-18,María
871,872,2004-11-09,Piso,Alquiler,Girona,185.0,1390460.0,2005-08-29,Jesús
874,875,2004-11-09,Oficina,Alquiler,Girona,147.0,1259202.0,2005-05-03,Pedro
882,883,2004-11-11,Piso,Venta,Girona,266.0,1370964.0,2005-10-22,María
883,884,2004-11-11,Piso,Venta,Girona,125.0,590875.0,2005-09-20,Carmen
885,886,2004-11-12,Piso,Venta,Girona,133.0,1191281.0,2005-06-28,Joaquín
890,891,2004-11-13,Casa,Venta,Girona,255.0,2543625.0,2005-08-29,Pedro
900,901,2004-11-16,Parking,Alquiler,Girona,294.0,1653456.0,2005-07-18,Pedro
904,905,2004-11-18,Local,Alquiler,Girona,116.0,479892.0,2005-11-11,Joaquín
907,908,2004-11-18,Parking,Venta,Girona,134.0,933444.0,2005-04-17,Pedro
914,915,2004-11-20,Oficina,Venta,Girona,285.0,1869885.0,2005-08-10,Jesús
923,924,2004-11-25,Parking,Alquiler,Girona,283.0,2213909.0,2005-05-10,Luisa
933,934,2004-11-29,Casa,Alquiler,Girona,228.0,2212740.0,2005-10-10,Jesús
935,936,2004-12-01,Parking,Alquiler,Girona,116.0,573040.0,2005-11-01,María
936,937,2004-12-01,Industrial,Alquiler,Girona,276.0,1932552.0,2005-10-20,María
938,939,2004-12-01,Industrial,Alquiler,Girona,216.0,1962360.0,2005-05-17,Pedro
945,946,2004-12-04,Piso,Venta,Girona,243.0,1447551.0,2005-09-13,Pedro
947,948,2004-12-05,Piso,Alquiler,Girona,237.0,1725597.0,2005-07-07,Pedro
949,950,2004-12-05,Piso,Venta,Girona,233.0,2153852.0,2005-03-11,Pedro
952,953,2004-12-07,Casa,Alquiler,Girona,240.0,1510320.0,2005-10-19,Carmen
954,955,2004-12-09,Suelo,Venta,Girona,200.0,1938400.0,2005-08-25,María
959,960,2004-12-10,Suelo,Venta,Girona,275.0,1732500.0,2005-07-10,Joaquín
963,964,2004-12-11,Suelo,Venta,Girona,185.0,1038590.0,2005-07-15,Luisa
